protein,RNA line ab,binary_RNA line ab,RNA line ab_y,binary_RNA line ab_y,cell_ab_diff,cell_ab_diff_abs,label
9606.ENSP00000373413,3.9,1,73.7,1.0,-69.8,69.8,0
9606.ENSP00000466967,62.7,1,73.7,1.0,-11.0,11.0,0
9606.ENSP00000263851,0.6,1,73.7,1.0,-73.10000000000001,73.10000000000001,0
9606.ENSP00000335677,28.0,1,73.7,1.0,-45.7,45.7,0
9606.ENSP00000305692,11.9,1,73.7,1.0,-61.8,61.8,0
9606.ENSP00000301180,10.0,1,73.7,1.0,-63.7,63.7,0
9606.ENSP00000457935,356.2,1,73.7,1.0,282.5,282.5,0
9606.ENSP00000479449,9.8,1,73.7,1.0,-63.900000000000006,63.900000000000006,0
9606.ENSP00000390849,32.0,1,73.7,1.0,-41.7,41.7,0
9606.ENSP00000359013,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000307479,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000243298,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000462337,35.6,1,73.7,1.0,-38.1,38.1,0
9606.ENSP00000245816,77.7,1,73.7,1.0,4.0,4.0,0
9606.ENSP00000360054,0.2,1,73.7,1.0,-73.5,73.5,0
9606.ENSP00000275525,0.7,1,73.7,1.0,-73.0,73.0,0
9606.ENSP00000269321,310.4,1,73.7,1.0,236.7,236.7,0
9606.ENSP00000312304,13.9,1,73.7,1.0,-59.8,59.8,0
9606.ENSP00000454545,27.0,1,73.7,1.0,-46.7,46.7,0
9606.ENSP00000263512,35.3,1,73.7,1.0,-38.400000000000006,38.400000000000006,0
9606.ENSP00000376227,8.8,1,73.7,1.0,-64.9,64.9,0
9606.ENSP00000335040,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000263974,29.3,1,73.7,1.0,-44.400000000000006,44.400000000000006,0
9606.ENSP00000323355,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000376269,44.1,1,73.7,1.0,-29.6,29.6,0
9606.ENSP00000362621,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000337353,19.1,1,73.7,1.0,-54.6,54.6,0
9606.ENSP00000286835,16.8,1,73.7,1.0,-56.900000000000006,56.900000000000006,0
9606.ENSP00000369681,9.2,1,73.7,1.0,-64.5,64.5,0
9606.ENSP00000245838,66.5,1,73.7,1.0,-7.200000000000003,7.200000000000003,0
9606.ENSP00000478639,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000324810,46.8,1,73.7,1.0,-26.90000000000001,26.90000000000001,0
9606.ENSP00000378757,0.4,1,73.7,1.0,-73.3,73.3,0
9606.ENSP00000359393,182.9,1,73.7,1.0,109.2,109.2,0
9606.ENSP00000339495,94.1,1,73.7,1.0,20.39999999999999,20.39999999999999,0
9606.ENSP00000296091,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000474534,11.3,1,73.7,1.0,-62.400000000000006,62.400000000000006,0
9606.ENSP00000363018,1250.7,1,73.7,1.0,1177.0,1177.0,0
9606.ENSP00000346659,0.1,1,73.7,1.0,-73.60000000000001,73.60000000000001,0
9606.ENSP00000347997,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000228438,0.1,1,73.7,1.0,-73.60000000000001,73.60000000000001,0
9606.ENSP00000459615,46.5,1,73.7,1.0,-27.200000000000003,27.200000000000003,0
9606.ENSP00000481956,1.0,1,73.7,1.0,-72.7,72.7,0
9606.ENSP00000347689,0.1,1,73.7,1.0,-73.60000000000001,73.60000000000001,0
9606.ENSP00000385780,0.1,1,73.7,1.0,-73.60000000000001,73.60000000000001,0
9606.ENSP00000307265,9.2,1,73.7,1.0,-64.5,64.5,0
9606.ENSP00000339095,1520.7,1,73.7,1.0,1447.0,1447.0,0
9606.ENSP00000225387,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000432561,0.4,1,73.7,1.0,-73.3,73.3,0
9606.ENSP00000406885,10.9,1,73.7,1.0,-62.8,62.8,0
9606.ENSP00000360147,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000300231,2.2,1,73.7,1.0,-71.5,71.5,0
9606.ENSP00000229268,97.1,1,73.7,1.0,23.39999999999999,23.39999999999999,0
9606.ENSP00000377914,78.6,1,73.7,1.0,4.8999999999999915,4.8999999999999915,0
9606.ENSP00000259371,21.5,1,73.7,1.0,-52.2,52.2,0
9606.ENSP00000322396,39.4,1,73.7,1.0,-34.300000000000004,34.300000000000004,0
9606.ENSP00000420168,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000201979,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000325002,115.0,1,73.7,1.0,41.3,41.3,1
9606.ENSP00000304891,0.9,1,73.7,1.0,-72.8,72.8,0
9606.ENSP00000216024,1.7,1,73.7,1.0,-72.0,72.0,0
9606.ENSP00000259870,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000322570,31.0,1,73.7,1.0,-42.7,42.7,0
9606.ENSP00000398076,13.3,1,73.7,1.0,-60.400000000000006,60.400000000000006,0
9606.ENSP00000316173,1.8,1,73.7,1.0,-71.9,71.9,0
9606.ENSP00000295757,3.2,1,73.7,1.0,-70.5,70.5,0
9606.ENSP00000313877,67.7,1,73.7,1.0,-6.0,6.0,0
9606.ENSP00000446271,25.2,1,73.7,1.0,-48.5,48.5,0
9606.ENSP00000309415,152.8,1,73.7,1.0,79.10000000000001,79.10000000000001,0
9606.ENSP00000334866,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000274457,8.2,1,73.7,1.0,-65.5,65.5,0
9606.ENSP00000290231,35.3,1,73.7,1.0,-38.400000000000006,38.400000000000006,0
9606.ENSP00000383599,10.0,1,73.7,1.0,-63.7,63.7,0
9606.ENSP00000293695,2.0,1,73.7,1.0,-71.7,71.7,0
9606.ENSP00000398688,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000362479,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000365884,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000321706,40.1,1,73.7,1.0,-33.6,33.6,0
9606.ENSP00000379346,57.3,1,73.7,1.0,-16.400000000000006,16.400000000000006,0
9606.ENSP00000357736,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000350874,41.7,1,73.7,1.0,-32.0,32.0,0
9606.ENSP00000472847,18.7,1,73.7,1.0,-55.0,55.0,0
9606.ENSP00000271277,15.0,1,73.7,1.0,-58.7,58.7,0
9606.ENSP00000304769,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000323424,23.0,1,73.7,1.0,-50.7,50.7,0
9606.ENSP00000349085,14.5,1,73.7,1.0,-59.2,59.2,0
