,gene_id,hpa_location,provenance,StringID
373,ESPN,microtubules:cytoplasm,uniprot,9606.ENSP00000367059
374,ESPN,actin filaments:cytoplasm,uniprot,9606.ENSP00000367059
375,ESPN,intermediate filaments:cytoplasm,uniprot,9606.ENSP00000367059
376,ESPN,plasma membrane:endomembrane system,uniprot,9606.ENSP00000367059
377,MYO9A,plasma membrane:endomembrane system,uniprot,9606.ENSP00000348349
378,MYO9A,nuclear membrane:nucleus,uniprot,9606.ENSP00000348349
379,MYO9A,cytoplasm,uniprot,9606.ENSP00000348349
380,MYO9A,microtubules:cytoplasm,uniprot,9606.ENSP00000348349
381,MYO9A,actin filaments:cytoplasm,uniprot,9606.ENSP00000348349
382,MYO9A,intermediate filaments:cytoplasm,uniprot,9606.ENSP00000348349
383,VWC2L,secreted proteins:secretory,uniprot,9606.ENSP00000308976
384,SMIM1,plasma membrane:endomembrane system,uniprot,9606.ENSP00000457386
385,ZBTB42,cytoplasm,uniprot,9606.ENSP00000409107
386,ZBTB42,nucleus,uniprot,9606.ENSP00000409107
387,ZBTB42,nucleoplasm:nucleus,uniprot,9606.ENSP00000409107
388,KDM4E,nucleus,uniprot,9606.ENSP00000397239
389,IQCJ-SCHIP1,plasma membrane:endomembrane system,uniprot,9606.ENSP00000420182
390,IQCJ-SCHIP1,microtubules:cytoplasm,uniprot,9606.ENSP00000420182
391,IQCJ-SCHIP1,actin filaments:cytoplasm,uniprot,9606.ENSP00000420182
392,IQCJ-SCHIP1,intermediate filaments:cytoplasm,uniprot,9606.ENSP00000420182
393,IQCJ-SCHIP1,cytoplasm,uniprot,9606.ENSP00000420182
394,TARM1,plasma membrane:endomembrane system,uniprot,9606.ENSP00000439454
395,KCNJ18,plasma membrane:endomembrane system,uniprot,9606.ENSP00000457807
396,GPR89A,golgi apparatus:endomembrane system,uniprot,9606.ENSP00000319673
397,GPR89A,plasma membrane:endomembrane system,uniprot,9606.ENSP00000319673
406,PATL2,cytoplasm,uniprot,9606.ENSP00000416673
407,PATL2,nucleus,uniprot,9606.ENSP00000416673
408,MCRIP1,nucleus,uniprot,9606.ENSP00000461433
409,MCRIP1,cytoplasm,uniprot,9606.ENSP00000461433
410,KBTBD13,cytoplasm,uniprot,9606.ENSP00000388723
411,AKR1B15,mitochondria:cytoplasm,uniprot,9606.ENSP00000389289
412,AKR1B15,cytoplasm,uniprot,9606.ENSP00000389289
413,AKR1B15,cytosol:cytoplasm,uniprot,9606.ENSP00000389289
