protein,RWR_target_0.2,RWR_target_0.4,RWR_target_0.6
9606.ENSP00000362485,1.1739416219745956e-05,6.282372824822185e-06,2.2304077212103545e-06
9606.ENSP00000222547,0.0001263208272638,0.0001031026220764,5.764728035524486e-05
9606.ENSP00000299705,3.18569828654347e-05,1.7584029403397387e-05,7.100876121635814e-06
9606.ENSP00000254816,7.467302661852576e-06,3.372967406373116e-06,1.0552966496452605e-06
9606.ENSP00000438468,3.632615621259092e-06,1.751901772075415e-06,5.676429706301821e-07
9606.ENSP00000418910,9.598564286093906e-06,4.025413139911271e-06,1.1908497221303684e-06
9606.ENSP00000390158,3.5334162974149974e-05,1.806667634586283e-05,7.0419410056674855e-06
9606.ENSP00000286732,2.3641938133482123e-06,9.775896181841185e-07,2.804341533499526e-07
9606.ENSP00000281701,0.0001376411245596,9.707315600059364e-05,5.08692273690554e-05
9606.ENSP00000371331,3.30769164611612e-05,1.247200213211842e-05,3.4598770213403896e-06
9606.ENSP00000378118,8.988550967779634e-06,3.9826319925777195e-06,1.0565772396917969e-06
9606.ENSP00000386143,2.2860709041926025e-07,8.528736132214431e-08,2.21609811814449e-08
9606.ENSP00000380999,8.616721086488543e-06,8.191945256971573e-06,5.069063499173834e-06
9606.ENSP00000365075,1.0138462057029563e-05,6.49647680732413e-06,3.231447497273317e-06
9606.ENSP00000361800,2.4207640104378475e-05,9.46601448393604e-06,3.123337665769631e-06
9606.ENSP00000415430,3.278037121166262e-05,2.559990130789061e-05,1.4219161417018927e-05
9606.ENSP00000379644,2.3735023831430673e-05,1.2857415858715276e-05,4.877125657738437e-06
9606.ENSP00000463058,7.932993248240298e-05,3.295862418556781e-05,1.0223815258958644e-05
9606.ENSP00000281543,2.017082610995416e-05,6.577005928100511e-06,1.6155666550203897e-06
9606.ENSP00000222598,2.9712932699703447e-05,1.5050126003571246e-05,5.289755299419603e-06
9606.ENSP00000202816,3.186527428864101e-05,1.0679608775644425e-05,2.5732348713593615e-06
9606.ENSP00000360372,7.22087455557971e-05,4.77762326768304e-05,2.3248764461810005e-05
9606.ENSP00000260010,9.394349863743938e-05,5.048291898800686e-05,2.2580705192859664e-05
9606.ENSP00000264932,6.866959380368854e-05,2.9756934681100425e-05,1.001877495486895e-05
9606.ENSP00000447378,3.0325186359880054e-05,1.2790140977734372e-05,3.756597955486324e-06
9606.ENSP00000373370,6.054146629279188e-06,2.932461781664026e-06,1.064374005460603e-06
9606.ENSP00000276185,1.021326813821146e-06,4.283282449657391e-07,1.262980121930175e-07
9606.ENSP00000284601,2.727008782098248e-05,1.2432399954389178e-05,4.567368899746504e-06
