protein,Heat_target_0.1,Heat_target_0.2,Heat_target_0.3
9606.ENSP00000357429,6.0506106819957495e-05,5.951113053015433e-05,5.790217619505711e-05
9606.ENSP00000268704,6.210897117853165e-05,5.939185939496383e-05,5.779096682090312e-05
9606.ENSP00000305595,6.76273339195177e-05,5.606268314295448e-05,5.4563126468565315e-05
9606.ENSP00000296127,2.7169877284904945e-05,4.28034363721963e-05,4.9864844186231494e-05
9606.ENSP00000295131,6.497465074062347e-05,6.000461871735752e-05,5.807095658383332e-05
9606.ENSP00000247956,6.569802644662559e-05,6.794396176701412e-05,6.227111589396372e-05
9606.ENSP00000216733,5.507695095730014e-05,5.9205784054938704e-05,5.810615039081313e-05
9606.ENSP00000447730,7.378710870398208e-05,6.062218380975537e-05,5.800676080980338e-05
9606.ENSP00000366797,2.927889727288857e-05,4.626026566256769e-05,5.270244218991138e-05
9606.ENSP00000308895,3.846656181849539e-05,4.8632278776494786e-05,5.2883668104186654e-05
9606.ENSP00000477509,7.96701351646334e-06,1.6273817891487852e-05,2.3165297534433194e-05
9606.ENSP00000288955,6.729331653332338e-05,6.05547393206507e-05,5.8192315918859094e-05
9606.ENSP00000307567,6.311364995781332e-05,5.946927922195755e-05,5.7797129557002336e-05
9606.ENSP00000308741,6.790027691749856e-05,5.99027298449073e-05,5.789140413980931e-05
9606.ENSP00000260585,8.437065116595477e-05,6.38936398900114e-05,5.884889105800539e-05
9606.ENSP00000342790,2.47077605308732e-05,4.296849510865286e-05,5.105614036438055e-05
9606.ENSP00000357772,3.5474702599458396e-05,4.811295002582483e-05,5.274761497275904e-05
9606.ENSP00000365380,6.305535498540848e-05,5.914598295930773e-05,5.7593246310716495e-05
9606.ENSP00000331791,6.511597166536376e-05,5.930904080742039e-05,5.752622746513225e-05
9606.ENSP00000469759,6.216672045411542e-05,5.928628524998203e-05,5.774036617367528e-05
9606.ENSP00000325634,5.538699042517692e-05,6.606652459595352e-05,6.310314347501844e-05
9606.ENSP00000262482,6.880997534608468e-05,6.167357787489891e-05,5.875497663510032e-05
9606.ENSP00000360939,5.913618588238023e-05,5.9357280406402424e-05,5.798573329229839e-05
9606.ENSP00000290438,5.5948061344679445e-05,5.923092976445332e-05,5.8205998357152566e-05
