protein,RW_20_0.1,RW_20_0.2,RW_20_0.3,RW_20_0.4,RW_20_0.5,RW_20_0.6,RW_20_0.7,RW_20_0.8,RW_20_0.9,RW_20_1.0
9606.ENSP00000409107,4.8074876531245536e-05,8.719544121049694e-05,0.0001293248346883,0.0001624403919322,0.000222624835942,0.0002646928414833,0.0003010095624631,0.0003250635036238,0.0003671764204682,0.0004152645917656
9606.ENSP00000256545,0.0002572434150351,0.0004665567539632,0.0006917910577612,0.0008688376965437,0.0011924873597308,0.0014177557804941,0.0016110534379549,0.0017397769533999,0.0019652579230751,0.0022228989673749
9606.ENSP00000245046,0.000233053080592,0.0004226007322358,0.0006266122391025,0.0007869300625316,0.0010785258627947,0.0012824939913116,0.0014574392043869,0.001574009243086,0.0017780947136998,0.0020113249156565
9606.ENSP00000409952,0.0007884964616096,0.0014292234191088,0.0021194219589233,0.0026617789480951,0.0036470782652031,0.0043369197956053,0.0049280167149845,0.0053222449714667,0.006012426019879,0.0068008916750841
9606.ENSP00000475168,0.000491020251502,0.0008901474648155,0.0013199524728406,0.0016577262067585,0.0022712323261657,0.0027009149816876,0.0030690331477671,0.0033145126690214,0.0037442435204866,0.0042354072502348
9606.ENSP00000301908,6.439083472287166e-05,0.0001166798833764,0.0001730291537569,0.0002173348761971,0.0002977931480927,0.0003542115755408,0.0004025452421956,0.0004347889534983,0.0004911018259008,0.0005555478460337
9606.ENSP00000483814,0.000289219786282,0.000524219847648,0.0007772962089802,0.0009761261990206,0.0013376762180996,0.0015906970038486,0.0018075780262734,0.0019521673475537,0.0022051740306778,0.0024943740318121
9606.ENSP00000481126,0.0015282887979992,0.0027715221367543,0.0041107549041043,0.0051615607226267,0.0070753044055891,0.0084159821199136,0.0095638762431917,0.0103291276827803,0.0116674902601516,0.0131991328162257
9606.ENSP00000331201,0.0025647434958955,0.0046481635508826,0.0068923865183023,0.0086565434321528,0.0118621316214557,0.0141072319529484,0.0160309131024405,0.0173139335383893,0.0195576628757407,0.0221230224124155
9606.ENSP00000306390,7.238578245960525e-05,0.0001312708136538,0.0001946465863511,0.0002444656579427,0.0003350672818669,0.0003984371542173,0.0004528143963398,0.0004890420896117,0.0005524977755158,0.0006249779871723
9606.ENSP00000281708,0.0033901727001648,0.0061430720379576,0.0091080127313034,0.0114376394631108,0.0156727302965009,0.0186379781080177,0.021178822935326,0.0228732002724427,0.0258380292798392,0.02922635251889
9606.ENSP00000373905,0.003842259538942,0.0069665057671954,0.0103314953012159,0.0129735610244097,0.0177820034587057,0.0211490975925698,0.0240333864057902,0.0259562227147398,0.0293198306171689,0.033167429632158
9606.ENSP00000355605,0.0022515978198498,0.0040815276151988,0.0060524825967149,0.0076018456456949,0.0104177187022287,0.0123891170951537,0.0140795788174727,0.0152066859154729,0.017179151167511,0.019431555934716
9606.ENSP00000261866,0.0001449619376217,0.0002625678862386,0.0003892018512487,0.0004887246604994,0.0006696152313452,0.0007963952821228,0.0009049155105458,0.0009773261226655,0.0011040435356335,0.0012489319788073
9606.ENSP00000290949,0.0016329936770489,0.0029599233603221,0.0043893688634852,0.0055134219583123,0.0075535501237027,0.0089832703670253,0.010207847575657,0.0110254339597304,0.0124540837132371,0.0140864589629927
9606.ENSP00000292807,0.0042996500269509,0.0077947316749487,0.0115586397587321,0.0145168168819509,0.0198948118777479,0.0236589855048805,0.026886835345067,0.0290384056570474,0.0328040221938863,0.0371060183388181
9606.ENSP00000403117,3.216427262486832e-05,5.832843544339994e-05,8.650230574858142e-05,0.0001086244305952,0.0001488784737375,0.0001770695055256,0.0002012194618146,0.0002173155507989,0.0002454704256251,0.0002776873923266
9606.ENSP00000303145,0.0020095162035431,0.0036444334691623,0.0054051706683821,0.00678797562432,0.0093031625292496,0.0110644242668058,0.0125736124318791,0.0135792863002279,0.0153391671192366,0.0173523201810894
9606.ENSP00000304364,0.0002331724062969,0.0004228565785524,0.0006270251396927,0.000787486415902,0.0010792730436151,0.0012834242506869,0.0014585522394554,0.0015752288991279,0.0017795339654185,0.0020129568465563
9606.ENSP00000355231,0.0031916087900754,0.0057842753012664,0.0085769243596587,0.0107720835512736,0.0147613527369685,0.0175550261337775,0.019948815999669,0.0215452322299825,0.0243373362754937,0.027529156213859
9606.ENSP00000346537,0.0001367559934806,0.0002479496924934,0.0003676585974972,0.0004617650820364,0.0006330019577944,0.0007527294010287,0.0008554740379622,0.0009239248738595,0.0010438075632919,0.0011807152468463
