protein,RWR_target_0.2,RWR_target_0.4,RWR_target_0.6
9606.ENSP00000299213,1.5182973820699269e-05,4.9496905592051314e-06,1.226949257092578e-06
9606.ENSP00000287916,1.6413536496956575e-05,1.1087961248715885e-05,5.522297698373529e-06
9606.ENSP00000446100,2.9561022556555812e-06,1.4888623926685131e-06,4.957239462071806e-07
9606.ENSP00000359664,1.6744334878048642e-05,8.22490255030859e-06,2.873585580081229e-06
9606.ENSP00000378721,5.55768673048339e-05,2.5200855202396363e-05,8.609172696830281e-06
9606.ENSP00000383232,3.937624134163351e-05,3.234928298623808e-05,1.8112470181707237e-05
9606.ENSP00000371800,2.362735918994382e-05,1.4547931157785162e-05,7.037646290279049e-06
9606.ENSP00000482767,3.140164298143545e-05,1.1503503868615612e-05,3.382666495495962e-06
9606.ENSP00000397453,6.072978126919819e-05,2.4513672148312588e-05,7.60546186927278e-06
9606.ENSP00000345731,0.0001823908449687,0.0001093184193895,4.800766170841344e-05
9606.ENSP00000160827,4.9751090357965886e-05,1.884532261341596e-05,5.547534844110795e-06
9606.ENSP00000433560,8.121959214579532e-05,4.573830629000751e-05,1.9326978036025283e-05
9606.ENSP00000283309,2.9693219347052035e-05,1.577750503002299e-05,5.723164909101106e-06
9606.ENSP00000305529,5.173260314953008e-06,2.311228644827329e-06,6.829985302277526e-07
9606.ENSP00000337510,2.1120286555720112e-06,8.304635101894985e-07,2.308742742410454e-07
9606.ENSP00000381272,4.578513296252282e-06,2.189108454481396e-06,6.836632072771978e-07
9606.ENSP00000290974,6.674523623619868e-06,4.867318549791745e-06,2.4814450072302337e-06
9606.ENSP00000286355,3.799180431782054e-05,1.4469679893168723e-05,3.928429211548326e-06
9606.ENSP00000347324,6.609048686851736e-05,3.529028622647036e-05,1.5907481558012595e-05
9606.ENSP00000419085,8.378134708153784e-06,5.1902142954358075e-06,2.3657630493707175e-06
9606.ENSP00000388402,6.832227153254313e-05,3.5439027061111426e-05,1.5620256584220436e-05
9606.ENSP00000307801,2.432165400062186e-06,1.0640567134483723e-06,3.122357406933459e-07
9606.ENSP00000419087,2.6735382306153996e-05,1.2457529526249998e-05,4.82185662711974e-06
9606.ENSP00000366549,1.5660106335077012e-06,6.211079281889686e-07,1.606635956748011e-07
9606.ENSP00000452280,7.952680080740732e-06,3.3575015187074684e-06,9.986495787466076e-07
9606.ENSP00000353739,2.2961179751064983e-06,7.786684834896375e-07,1.9008379338920016e-07
9606.ENSP00000473001,8.34842814568676e-05,5.938068056963982e-05,3.091626527970095e-05
9606.ENSP00000296525,1.9290784081853034e-05,6.448746340625796e-06,1.564640303757445e-06
9606.ENSP00000380315,4.007679536839748e-06,1.0082216029779884e-06,2.043809246086675e-07
9606.ENSP00000337641,6.237165309953538e-05,3.1042365579549304e-05,1.2197067167258131e-05
9606.ENSP00000325929,9.764100217472136e-05,7.40304797713111e-05,4.112930315957813e-05
9606.ENSP00000476140,1.0149099643152288e-05,4.152243021606117e-06,1.1946847347803872e-06
9606.ENSP00000306983,5.077364867908397e-05,1.693736475642545e-05,4.724388024594299e-06
9606.ENSP00000349781,4.291901982078318e-05,2.7352460409220008e-05,1.3060071838815382e-05
9606.ENSP00000319622,3.1038722861972516e-06,9.433328588742798e-07,2.0354933123624085e-07
