protein,RWR_positive_0.4_0.1,RWR_positive_0.4_0.2,RWR_positive_0.4_0.3,RWR_positive_0.4_0.4,RWR_positive_0.4_0.5,RWR_positive_0.4_0.6,RWR_positive_0.4_0.7,RWR_positive_0.4_0.8,RWR_positive_0.4_0.9,RWR_positive_0.4_1.0,Target,label
9606.ENSP00000354415,7.17211788046512e-05,0.0001606716820788,0.000251956877693,0.0002633451108517,0.0002886194319188,0.0014442114705992,0.0016694748127269,0.0017906076684695,0.0018283401164229,0.0018890769635498,9606.ENSP00000268379,0
9606.ENSP00000037869,0.0001143034267405,0.0003100779309115,0.000426561640739,0.0004726332526186,0.000530554541412,0.0007113644635837,0.0007589557886212,0.0009627501838292,0.000992526087876,0.001233242277118,9606.ENSP00000268379,1
9606.ENSP00000317159,0.0020979860906421,0.0082182017452406,0.0096037150206399,0.0101376749356428,0.0107749821630098,0.0127797732136809,0.0130885237065119,0.0134146084653229,0.0137653760080279,0.0148334466198153,9606.ENSP00000268379,0
9606.ENSP00000326219,0.0035106137011425,0.0039418529980859,0.0061772788207962,0.006261275538712,0.0072506507393694,0.0077762490649291,0.0116272281515357,0.0117047478425154,0.0132705236956542,0.0134697328050899,9606.ENSP00000268379,0
9606.ENSP00000364204,0.002229804873439,0.0023352619919884,0.0025643703798366,0.0027411058798999,0.0028929965976363,0.0028929965976363,0.0034962214617286,0.0037389484105485,0.0039353927085411,0.0041227348780724,9606.ENSP00000268379,1
9606.ENSP00000235329,0.0001970695731545,0.0003246089402835,0.0005338908218497,0.0007155259463485,0.0008199026907062,0.0008199026907062,0.0503404923171794,0.050712360040214,0.0508189885446463,0.0510179282362222,9606.ENSP00000268379,0
9606.ENSP00000236980,3.0421394907236017e-05,8.787751276475214e-05,9.881875471005084e-05,0.0002910794191507,0.0004512546861314,0.0004512546861314,0.0004715973009855,0.0005437310876839,0.0006397839044266,0.0006596160372281,9606.ENSP00000268379,0
9606.ENSP00000379047,2.2335455887773924e-05,2.995598367044265e-05,5.265884351675912e-05,7.437241343986362e-05,9.38353080449025e-05,9.38353080449025e-05,0.0001018660607218,0.0002719994214694,0.0003273961979284,0.0003396015140243,9606.ENSP00000268379,0
9606.ENSP00000354223,0.0008891022659487,0.0009319113773299,0.0010175320573099,0.0010858341225061,0.0012810190390536,0.0012810190390536,0.0013774052649635,0.0017490791272894,0.0018749855524538,0.0019282986121457,9606.ENSP00000268379,0
9606.ENSP00000396954,2.211520584185165e-05,3.543166219624304e-05,3.907577978733366e-05,5.78007383792945e-05,7.51936897731336e-05,7.51936897731336e-05,8.585930686982152e-05,0.0001072806121582,0.0001355755967087,0.0001487983561423,9606.ENSP00000268379,1
9606.ENSP00000258955,3.0223015792335843e-06,9.541135970408124e-05,9.590912371624368e-05,0.0001032505994695,0.0001046143108757,0.0001046143108757,0.0001064806379421,0.0001092021871099,0.000113084069178,0.0001141382225282,9606.ENSP00000268379,0
9606.ENSP00000262507,0.0021440738419734,0.0026554419003305,0.0030873891653094,0.0039502522189615,0.0083894329564734,0.0083894329564734,0.0090691837887929,0.0273050578556318,0.0440859075688796,0.045508504427471,9606.ENSP00000268379,1
