Enesembl ID	Gene	RNA line ab	RNA type ab	protein type ab
ENSG00000025293	PHF20	15.4	17.2	Low
ENSG00000025423	HSD17B6	1.9	1769.5	High
ENSG00000025434	NR1H3	30.6	58.9	Low
ENSG00000025708	TYMP	5.1	81.9	Not detected
ENSG00000025770	NCAPH2	58.4	8.8	Low
ENSG00000025772	TOMM34	101.6	8.7	Not detected
ENSG00000025796	SEC63	43.5	106.9	Low
ENSG00000025800	KPNA6	22.5	56.6	Low
ENSG00000026025	VIM	3.4	13.9	Not detected
ENSG00000026103	FAS	11.6	18.9	
ENSG00000026297	RNASET2	154.0	19.7	Low
ENSG00000026508	CD44	1.8	7.1	Not detected
ENSG00000026559	KCNG1	0.0	0.0	Medium
ENSG00000026652	AGPAT4	0.1	0.2	Low
ENSG00000026751	SLAMF7	0.0	0.5	Not detected
ENSG00000026950	BTN3A1	5.9	4.3	Medium
ENSG00000027001	MIPEP	16.9	4.8	Low
ENSG00000027075	PRKCH	0.6	1.2	Medium
ENSG00000027644	INSRR	0.0	0.0	
ENSG00000027697	IFNGR1	151.0	49.0	Not detected
ENSG00000027847	B4GALT7	27.6	16.1	Not detected
ENSG00000027869	SH2D2A	0.7	0.7	Not detected
ENSG00000028116	VRK2	30.5	9.0	Low
ENSG00000028137	TNFRSF1B	0.0	14.1	Not detected
ENSG00000028203	VEZT	6.5	32.9	Medium
ENSG00000028277	POU2F2	0.2	1.3	Not detected
ENSG00000028310	BRD9	16.5	22.2	Not detected
ENSG00000028528	SNX1	101.3	33.0	Low
ENSG00000028839	TBPL1	30.2	12.3	Not detected
ENSG00000029153	ARNTL2	14.1	3.1	Not detected
ENSG00000029363	BCLAF1	99.6	47.6	High
ENSG00000029364	SLC39A9	25.1	56.1	Low
ENSG00000029534	ANK1	0.0	0.1	Not detected
ENSG00000029559	IBSP	0.0	0.0	
ENSG00000029639	TFB1M	30.9	28.5	Low
ENSG00000029725	RABEP1	36.2	37.7	Low
ENSG00000029993	HMGB3	148.7	100.9	Not detected
ENSG00000030066	NUP160	42.2	9.7	
ENSG00000030110	BAK1	31.9	4.1	Not detected
ENSG00000030304	MUSK	0.0	0.0	
ENSG00000030419	IKZF2	0.5	1.9	Medium
ENSG00000030582	GRN	232.7	76.5	
ENSG00000031003	FAM13B	8.3	4.3	Not detected
ENSG00000031081	ARHGAP31	0.0	0.5	Low
ENSG00000031691	CENPQ	19.1	4.6	Not detected
ENSG00000031698	SARS1	121.8	146.5	Not detected
ENSG00000031823	RANBP3	83.5	11.8	Low
ENSG00000032219	ARID4A	8.9	37.9	
ENSG00000032389	EIPR1	75.7	11.1	Not detected
ENSG00000032444	PNPLA6	19.9	13.8	Medium
ENSG00000032742	IFT88	11.5	19.2	
ENSG00000033011	ALG1	103.2	16.1	Low
ENSG00000033030	ZCCHC8	12.7	15.1	Low
ENSG00000033050	ABCF2	23.9	13.1	Not detected
ENSG00000033100	CHPF2	27.9	7.9	Medium
ENSG00000033122	LRRC7	0.0	4.5	
ENSG00000033170	FUT8	19.1	1.8	Low
ENSG00000033178	UBA6	14.2	22.7	Not detected
ENSG00000033327	GAB2	4.9	0.2	Medium
ENSG00000033627	ATP6V0A1	21.0	28.6	Medium
ENSG00000033800	PIAS1	14.5	31.8	Medium
ENSG00000033867	SLC4A7	8.0	4.1	Not detected
ENSG00000034053	APBA2	0.1	1.0	Medium
ENSG00000034152	MAP2K3	95.4	64.7	Not detected
ENSG00000034239	EFCAB1	0.0	0.1	Not detected
ENSG00000034510	TMSB10	2486.1	433.8	
ENSG00000034533	ASTE1	5.3	5.9	Not detected
ENSG00000034677	RNF19A	16.8	38.1	Low
ENSG00000034693	PEX3	19.1	22.0	Medium
ENSG00000034713	GABARAPL2	144.5	151.9	Low
ENSG00000034971	MYOC	0.0	0.0	Not detected
ENSG00000035115	SH3YL1	16.0	8.3	Not detected
ENSG00000035141	FAM136A	129.4	61.4	Medium
ENSG00000035403	VCL	33.5	27.6	Low
ENSG00000035499	DEPDC1B	43.0	0.0	Not detected
ENSG00000035664	DAPK2	0.1	1.5	
ENSG00000035681	NSMAF	18.3	3.5	Medium
ENSG00000035687	ADSS2	41.9	35.0	Medium
ENSG00000035720	STAP1	0.0	0.0	Not detected
