protein,RNA line ab,binary_RNA line ab
9606.ENSP00000220659,12.5,1
9606.ENSP00000220669,35.9,1
9606.ENSP00000220676,0.7,1
9606.ENSP00000220751,8.9,1
9606.ENSP00000220763,2.4,1
9606.ENSP00000220764,7.7,1
9606.ENSP00000220772,10.8,1
9606.ENSP00000220809,0.3,1
9606.ENSP00000220812,0,0
9606.ENSP00000220822,12.4,1
9606.ENSP00000220849,421.1,1
9606.ENSP00000220853,9.8,1
9606.ENSP00000220913,28,1
9606.ENSP00000220940,0,0
9606.ENSP00000220966,2,1
9606.ENSP00000221086,5.2,1
9606.ENSP00000221114,46.1,1
9606.ENSP00000221130,62.3,1
9606.ENSP00000221132,29.5,1
9606.ENSP00000221138,84.4,1
9606.ENSP00000221166,0,0
9606.ENSP00000221200,30.6,1
9606.ENSP00000221233,33.1,1
9606.ENSP00000221265,81.3,1
9606.ENSP00000221307,0,0
9606.ENSP00000221327,5.5,1
9606.ENSP00000221399,0.1,1
9606.ENSP00000221403,0.5,1
9606.ENSP00000221418,70.9,1
9606.ENSP00000221419,299.6,1
9606.ENSP00000221421,0,0
9606.ENSP00000221444,0,0
9606.ENSP00000221452,0.5,1
9606.ENSP00000221455,15.7,1
9606.ENSP00000221459,4.3,1
9606.ENSP00000221462,6.3,1
9606.ENSP00000221466,1.2,1
9606.ENSP00000221476,0,0
9606.ENSP00000221480,0.6,1
9606.ENSP00000221485,1.9,1
9606.ENSP00000221486,41.3,1
9606.ENSP00000221494,57.8,1
9606.ENSP00000221496,0,0
9606.ENSP00000221498,0.1,1
9606.ENSP00000221515,0,0
9606.ENSP00000221538,0,0
9606.ENSP00000221543,7,1
9606.ENSP00000221561,122.9,1
9606.ENSP00000221566,70.2,1
9606.ENSP00000221573,7.7,1
9606.ENSP00000221665,10.3,1
9606.ENSP00000221671,3.9,1
9606.ENSP00000221700,0,0
9606.ENSP00000221730,0,0
9606.ENSP00000221742,7.4,1
9606.ENSP00000221797,0,0
9606.ENSP00000221801,308.2,1
9606.ENSP00000221804,0,0
9606.ENSP00000221847,0,0
9606.ENSP00000221855,99.8,1
9606.ENSP00000221856,17,1
9606.ENSP00000221859,60.4,1
9606.ENSP00000221891,26.1,1
9606.ENSP00000221922,19.7,1
9606.ENSP00000221930,17.8,1
9606.ENSP00000221954,0,0
9606.ENSP00000221957,25.1,1
9606.ENSP00000221972,0.2,1
9606.ENSP00000221973,0,0
9606.ENSP00000221978,0,0
9606.ENSP00000221980,0.2,1
9606.ENSP00000221992,0,0
9606.ENSP00000221996,0,0
9606.ENSP00000222002,0,0
9606.ENSP00000222005,130.6,1
9606.ENSP00000222008,21.9,1
9606.ENSP00000222032,1.5,1
9606.ENSP00000222033,0,0
9606.ENSP00000222115,0.1,1
9606.ENSP00000222120,7.5,1
9606.ENSP00000222122,12.6,1
9606.ENSP00000222139,2.8,1
9606.ENSP00000222145,0.2,1
9606.ENSP00000222214,20.8,1
9606.ENSP00000222219,30.7,1
9606.ENSP00000222224,0.1,1
9606.ENSP00000222247,1555.9,1
9606.ENSP00000222248,0,0
9606.ENSP00000222250,8.4,1
9606.ENSP00000222254,15.6,1
9606.ENSP00000222256,16.6,1
9606.ENSP00000222271,1.2,1
9606.ENSP00000222284,119.9,1
9606.ENSP00000222286,0,0
9606.ENSP00000222305,88.6,1
9606.ENSP00000222329,42.1,1
9606.ENSP00000222330,49.5,1
9606.ENSP00000222345,6.7,1
9606.ENSP00000222374,15.1,1
9606.ENSP00000222381,0,0
9606.ENSP00000222382,0,0
9606.ENSP00000222388,58.4,1
9606.ENSP00000222390,0,0
9606.ENSP00000222399,24.8,1
9606.ENSP00000222402,3.1,1
9606.ENSP00000222462,0,0
9606.ENSP00000222481,0.7,1
9606.ENSP00000222482,0,0
9606.ENSP00000222511,32.4,1
9606.ENSP00000222543,1.1,1
9606.ENSP00000222547,18.9,1
9606.ENSP00000222553,38.8,1
9606.ENSP00000222567,30.9,1
9606.ENSP00000222572,46.2,1
9606.ENSP00000222573,1.9,1
9606.ENSP00000222574,7.7,1
9606.ENSP00000222584,10,1
9606.ENSP00000222598,27.2,1
9606.ENSP00000222644,26.7,1
9606.ENSP00000222673,85.7,1
9606.ENSP00000222674,0,0
9606.ENSP00000222693,2.9,1
9606.ENSP00000222718,0.2,1
9606.ENSP00000222725,2.9,1
9606.ENSP00000222726,5.3,1
9606.ENSP00000222728,1.5,1
9606.ENSP00000222747,7.7,1
9606.ENSP00000222753,26.9,1
9606.ENSP00000222792,10.1,1
9606.ENSP00000222800,3.2,1
9606.ENSP00000222803,8.1,1
9606.ENSP00000222812,5,1
9606.ENSP00000222823,3.5,1
9606.ENSP00000222968,66.3,1
9606.ENSP00000222982,0,0
9606.ENSP00000222990,13.6,1
9606.ENSP00000223023,50.1,1
9606.ENSP00000223026,0,0
9606.ENSP00000223029,113.6,1
9606.ENSP00000223061,0,0
9606.ENSP00000223073,53.2,1
9606.ENSP00000223095,0.4,1
9606.ENSP00000223114,0.1,1
9606.ENSP00000223127,50,1
9606.ENSP00000223129,64.5,1
9606.ENSP00000223136,65.8,1
9606.ENSP00000223145,7.7,1
9606.ENSP00000223167,0.1,1
9606.ENSP00000223208,17.6,1
9606.ENSP00000223210,2.3,1
9606.ENSP00000223215,2.9,1
9606.ENSP00000223273,35.2,1
9606.ENSP00000223293,0,0
9606.ENSP00000223321,254.3,1
9606.ENSP00000223324,98.6,1
9606.ENSP00000223357,2.4,1
9606.ENSP00000223364,0,0
9606.ENSP00000223366,0.2,1
9606.ENSP00000223369,83.1,1
9606.ENSP00000223398,3.6,1
9606.ENSP00000223459,2.2,1
9606.ENSP00000223500,70.5,1
9606.ENSP00000223528,7.9,1
9606.ENSP00000223641,171.9,1
9606.ENSP00000223642,0.3,1
9606.ENSP00000223795,0,0
9606.ENSP00000223862,0,0
9606.ENSP00000223864,21.9,1
9606.ENSP00000224073,277,1
9606.ENSP00000224140,22.8,1
9606.ENSP00000224181,0,0
9606.ENSP00000224337,0.1,1
9606.ENSP00000224356,0.2,1
9606.ENSP00000224652,14.5,1
9606.ENSP00000224807,7.9,1
9606.ENSP00000224862,1.8,1
9606.ENSP00000225171,0.9,1
9606.ENSP00000225174,195.3,1
9606.ENSP00000225235,4.9,1
9606.ENSP00000225275,0,0
9606.ENSP00000225276,0.3,1
9606.ENSP00000225296,35.4,1
9606.ENSP00000225298,89.7,1
9606.ENSP00000225328,18.8,1
9606.ENSP00000225371,0,0
9606.ENSP00000225387,0,0
9606.ENSP00000225388,31.4,1
9606.ENSP00000225430,2807.4,1
9606.ENSP00000225474,0,0
9606.ENSP00000225504,99.8,1
9606.ENSP00000225512,0.4,1
9606.ENSP00000225519,18.8,1
9606.ENSP00000225525,39.1,1
9606.ENSP00000225538,0,0
9606.ENSP00000225550,0,0
9606.ENSP00000225567,43.4,1
